"utilizations","stat_up","stat_mean","stat_low","snc_bound","simulated_backlog"
0.5,13.1437644958496,8.41265487670898,6.30704307556152,4.9956226348877,2.15376108742348
0.55,20.2746963500977,11.4766044616699,8.02769088745117,5.90454292297363,2.16635675344763
0.6,27.7257614135742,15.7419929504395,10.0693244934082,7.04638481140137,5.57505849077581
0.65,36.4810333251953,21.1483840942383,13.0667610168457,8.42985153198242,5.67955240193092
0.7,43.8091278076172,26.813362121582,16.2699813842773,10.064998626709,3.51093854552041
0.75,51.5519561767578,33.0306243896484,19.9291000366211,11.9610252380371,4.9247880187846
0.8,57.3904571533203,38.3107147216797,23.6579055786133,14.1211814880371,6.34487664055471
0.85,64.7516784667969,44.1720123291016,27.9521865844727,16.5332717895508,6.70465392015793
0.9,69.4759826660156,49.1654815673828,32.5497894287109,19.1603775024414,7.95131818458624
0.95,76.1324157714844,54.8247528076172,36.8854827880859,21.9407577514648,14.7529168887523
